Subject,Experimenter,Age,Sex,Group,Value1,Value2,Value3
1,JM,19,F,control,108,94,157
2,JM,18,F,control,63,148,120
3,JM,18,M,control,32,99,46
4,JM,21,F,control,29,43,95
5,JM,22,F,control,58,90,123
6,LS,19,F,control,34,120,71
7,LS,19,M,control,110,67,124
8,LS,20,M,control,60,91,76
9,LS,21,F,control,86,72,122
10,LS,20,F,control,118,99,130
11,MK,20,F,control,130,145,85
12,MK,19,M,control,125,72,142
13,MK,18,F,control,73,80,84
14,MK,18,F,control,149,131,78
15,MK,23,F,control,55,164,108
16,JM,23,F,intervention,105,106,114
17,JM,18,M,intervention,49,93,118
18,JM,27,M,intervention,78,88,160
19,JM,28,F,intervention,45,103,164
20,JM,19,M,intervention,75,131,173
21,LS,25,F,intervention,100,130,179
22,LS,19,F,intervention,60,142,120
23,LS,19,F,intervention,71,56,180
24,LS,29,M,intervention,113,133,170
25,LS,20,M,intervention,84,135,126
26,MK,24,F,intervention,106,165,173
27,MK,22,M,intervention,72,117,130
28,MK,19,F,intervention,163,163,116
29,MK,20,F,intervention,79,90,125
30,MK,20,F,intervention,61,64,173
